**ST554754**,"`NBNSYS0000005602 [Common Blue Damselfly], NBNSYS0000005606 [Azure Damselfly], NBNSYS0000005625 [Brown Hawker], NBNSYS0000005626 [Southern Hawker], NBNSYS0000005637 [Broad-bodied Chaser], NBNSYS0000005639 [Four-spotted Chaser], NBNSYS0000005645 [Common Darter(2)], NBNSYS0000008332 [Orange Ladybird], NHMSYS0000344179 [Blue-tailed Damselfly(2)], NHMSYS0001702159(2), NHMSYS0020309198 [Birch Shieldbug], NHMSYS0020480770 [Broad-barred Fusehorn], NHMSYS0020528135 [White-lipped Snail], NHMSYS0021321545, NHMSYS0021583970 [Meadow Grasshopper]`"
**ST554755**,"`NBNSYS0000007061 [Batman Hoverfly], NBNSYS0000030131(2), NHMSYS0020152181 [Green Dock Beetle]`"
**ST554756**,`NBNSYS0000008330 [14-spot Ladybird]`
**ST554760**,`NHMSYS0000876769 [Hornet]`
**ST554764**,"`NHMSYS0020109266 [Green Shieldbug], NHMSYS0021055602 [Jenkins' Spire Snail]`"
**ST554766**,"`NBNSYS0000005616 [Beautiful Demoiselle], NBNSYS0000006912`"
**ST554767**,`NBNSYS0000003189 [Himalayan Balsam(2)]`
**ST554768**,`NHMSYS0000462335 [Japanese Knotweed(2)]`
**ST554769**,`NHMSYS0000462335 [Japanese Knotweed]`
**ST554770**,`NHMSYS0000462335 [Japanese Knotweed(3)]`
**ST55477540**,"`NBNSYS0000005602 [Common Blue Damselfly], NBNSYS0000005645 [Common Darter], NHMSYS0000344179 [Blue-tailed Damselfly]`"
**ST55487564**,`NBNSYS0000007054`
**ST55497550**,`NBNSYS0000005641 [Black-tailed Skimmer]`
**ST55497634**,"`NBNSYS0000006951, NBNSYS0000033260`"
**ST55497727**,"`NBNSYS0000005630 [Emperor Dragonfly], NBNSYS0000005637 [Broad-bodied Chaser]`"
**ST55527317**,`NHMSYS0000876769 [Hornet]`
**ST55527516**,`NHMSYS0000875595 [Buff-tailed Bumblebee]`
